demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
52,167.81574636460223,91.0,102.0,105.0,102.0,73.0,90.96153846153842,-1.2843361980551828
51,229.90341897508011,52.0,91.0,102.0,105.0,102.0,91.07692307692308,-11.221745213241036
24,181.68071007556847,51.0,52.0,91.0,102.0,105.0,90.22084354005085,-3.418666177674597
132,182.74981586967687,24.0,51.0,52.0,91.0,102.0,90.8851477483927,-29.811484287948737
102,166.5802264329663,132.0,24.0,51.0,52.0,91.0,91.54945195673449,2.0969796530591704
104,177.75829421796763,102.0,132.0,24.0,51.0,52.0,92.21375616507629,-3.972120508497023
122,172.12768811348565,104.0,102.0,132.0,24.0,51.0,92.87806037341812,11.575682776041074
95,179.0198613680544,122.0,104.0,102.0,132.0,24.0,93.54236458175993,4.979248039927139
78,344.72824105169923,95.0,122.0,104.0,102.0,132.0,94.20666879010176,-4.613981567981674
95,158.85920697142106,78.0,95.0,122.0,104.0,102.0,94.87097299844356,-3.7328522015315087
136,153.64198921366315,95.0,78.0,95.0,122.0,104.0,95.53527720678538,-0.2876202709787794
73,164.34521740351278,136.0,95.0,78.0,95.0,122.0,96.1995814151272,6.930047557009847
88,265.8666190081093,73.0,136.0,95.0,78.0,95.0,96.863885623469,-12.518951281668196
159,282.94747548703083,88.0,73.0,136.0,95.0,78.0,97.52818983181083,-0.07371935111546847
129,162.7416312101989,159.0,88.0,73.0,136.0,95.0,98.19249404015264,-2.8560515231268413
107,167.57959067602346,129.0,159.0,88.0,73.0,136.0,98.85679824849448,9.390462458707935
127,159.2683967975012,107.0,129.0,159.0,88.0,73.0,99.52110245683627,7.284412337978614
135,160.4930369064086,127.0,107.0,129.0,159.0,88.0,100.18540666517806,0.9732340121210854
109,156.08491401674925,135.0,127.0,107.0,129.0,159.0,100.84971087351991,10.235773634981507
147,217.84603761884497,109.0,135.0,127.0,107.0,129.0,101.51401508186173,2.139338898867567
71,150.28471606655762,147.0,109.0,135.0,127.0,107.0,102.17831929020358,17.401878521727994
125,151.13176240892216,71.0,147.0,109.0,135.0,127.0,102.84262349854536,-20.611222881052626
90,151.99436438464355,125.0,71.0,147.0,109.0,135.0,103.50692770688718,11.067983408474467
83,168.5609965208124,90.0,125.0,71.0,147.0,109.0,104.171231915229,-3.0797333789215218
76,172.0474593165351,83.0,90.0,125.0,71.0,147.0,104.8355361235708,-2.2595014483688014
88,185.44505788373817,76.0,83.0,90.0,125.0,71.0,105.49984033191264,-14.855936184482735
56,155.4705921828375,88.0,76.0,83.0,90.0,125.0,106.16414454025444,4.525193181967428
42,182.7531487800263,56.0,88.0,76.0,83.0,90.0,106.82844874859627,-35.20906206696702
