date,demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-05-13,24,3,230,1,0,0,0,0,1,0
2014-05-20,48,3,170,1,0,0,0,0,1,0
2014-05-27,33,1,177,1,0,0,0,0,1,0
2014-06-03,41,2,232,1,0,0,0,0,1,0
2014-06-10,34,2,398,1,0,0,0,0,1,0
2014-06-17,16,3,208,1,0,0,0,0,1,0
2014-06-24,22,1,152,1,0,0,0,0,1,0
2014-07-01,34,2,163,1,0,0,0,0,1,0
2014-07-08,29,1,142,1,0,0,0,0,1,0
2014-07-15,20,2,140,1,0,0,0,0,1,0
2014-07-22,25,3,148,1,0,0,0,0,1,0
2014-07-29,6,2,294,1,0,0,0,0,1,0
2014-08-05,17,3,140,1,0,0,0,0,1,0
2014-08-12,31,1,148,1,0,0,0,0,1,0
2014-08-19,20,4,165,1,0,0,0,0,1,0
2014-08-26,25,2,152,1,0,0,0,0,1,0
2014-09-02,31,1,149,1,0,0,0,0,1,0
2014-09-09,57,2,217,1,0,0,0,0,1,0
2014-09-16,32,2,135,1,0,0,0,0,1,0
2014-09-23,44,1,170,1,0,0,0,0,1,0
2014-09-30,45,1,264,1,0,0,0,0,1,0
2014-10-07,6,3,129,1,0,0,0,0,1,0
2014-10-14,45,1,147,1,0,0,0,0,1,0
2014-10-21,52,2,244,1,0,0,0,0,1,0
2014-10-28,34,1,128,1,0,0,0,0,1,0
2014-11-04,59,1,245,1,0,0,0,0,1,0
2014-11-11,59,2,247,1,0,0,0,0,1,0
2014-11-18,49,3,183,1,0,0,0,0,1,0
2014-11-25,44,1,270,1,0,0,0,0,1,0
2014-12-02,42,3,137,1,0,0,0,0,1,0
2014-12-09,58,1,172,1,0,0,0,0,1,0
2014-12-16,56,2,274,1,0,0,0,0,1,0
2014-12-23,61,2,496,1,0,0,0,0,1,0
2014-12-30,59,4,327,1,0,0,0,0,1,0
2015-01-06,32,2,243,1,0,0,0,0,1,0
2015-01-13,44,1,533,1,0,0,0,0,1,0
2015-01-20,51,1,398,1,0,0,0,0,1,0
2015-01-27,66,1,357,1,0,0,0,0,1,0
2015-02-03,66,2,248,1,0,0,0,0,1,0
2015-02-10,49,3,330,1,0,0,0,0,1,0
2015-02-17,48,1,143,1,0,0,0,0,1,0
2015-02-24,58,2,438,1,0,0,0,0,1,0
2015-03-03,54,2,544,1,0,0,0,0,1,0
2015-03-10,76,1,676,1,0,0,0,0,1,0
2015-03-17,82,1,289,1,0,0,0,0,1,0
2015-03-24,64,3,294,1,0,0,0,0,1,0
2015-03-31,72,2,406,1,0,0,0,0,1,0
2015-04-07,85,1,250,1,0,0,0,0,1,0
2015-04-14,63,1,339,1,0,0,0,0,1,0
2015-04-21,60,2,236,1,0,0,0,0,1,0
2015-04-28,66,3,335,1,0,0,0,0,1,0
2015-05-05,61,3,148,1,0,0,0,0,1,0
2015-05-12,54,3,261,1,0,0,0,0,1,0
2015-05-19,41,1,161,1,0,0,0,0,1,0
2015-05-26,46,3,416,1,0,0,0,0,1,0
2015-06-02,40,1,505,1,0,0,0,0,1,0
2015-06-09,48,2,148,1,0,0,0,0,1,0
2015-06-16,45,3,248,1,0,0,0,0,1,0
2015-06-23,45,1,285,1,0,0,0,0,1,0
2015-06-30,53,4,366,1,0,0,0,0,1,0
2015-07-07,54,1,399,1,0,0,0,0,1,0
2015-07-14,44,1,255,1,0,0,0,0,1,0
2015-07-21,35,1,164,1,0,0,0,0,1,0
2015-07-28,68,2,165,1,0,0,0,0,1,0
2015-08-04,69,3,226,1,0,0,0,0,1,0
2015-08-11,39,2,338,1,0,0,0,0,1,0
2015-08-18,53,3,242,1,0,0,0,0,1,0
2015-08-25,59,2,167,1,0,0,0,0,1,0
2015-09-01,57,1,156,1,0,0,0,0,1,0
2015-09-08,60,1,150,1,0,0,0,0,1,0
2015-09-15,73,1,120,1,0,0,0,0,1,0
2015-09-22,64,2,118,1,0,0,0,0,1,0
2015-09-29,31,1,120,1,0,0,0,0,1,0
2015-10-06,85,2,167,1,0,0,0,0,1,0
2015-10-13,60,2,154,1,0,0,0,0,1,0
2015-10-20,73,3,149,1,0,0,0,0,1,0
2015-10-27,62,2,157,1,0,0,0,0,1,0
2015-11-03,78,3,283,1,0,0,0,0,1,0
2015-11-10,78,4,275,1,0,0,0,0,1,0
2015-11-17,76,3,319,1,0,0,0,0,1,0
2015-11-24,69,3,234,1,0,0,0,0,1,0
2015-12-01,87,3,178,1,0,0,0,0,1,0
2015-12-08,91,2,264,1,0,0,0,0,1,0
2015-12-15,79,4,236,1,0,0,0,0,1,0
2015-12-22,107,3,288,1,0,0,0,0,1,0
2015-12-29,91,2,245,1,0,0,0,0,1,0
2016-01-05,82,1,207,1,0,0,0,0,1,0
2016-01-12,76,3,261,1,0,0,0,0,1,0
2016-01-19,72,1,287,1,0,0,0,0,1,0
2016-01-26,57,2,235,1,0,0,0,0,1,0
2016-02-02,66,3,552,1,0,0,0,0,1,0
2016-02-09,38,3,329,1,0,0,0,0,1,0
2016-02-16,28,2,250,1,0,0,0,0,1,0
2016-02-23,26,2,345,1,0,0,0,0,1,0
2016-03-01,21,3,329,1,0,0,0,0,1,0
2016-03-08,18,1,315,1,0,0,0,0,1,0
2016-03-15,33,1,188,1,0,0,0,0,1,0
2016-03-22,46,1,392,1,0,0,0,0,1,0
2016-03-29,51,1,350,1,0,0,0,0,1,0
2016-04-05,45,1,441,1,0,0,0,0,1,0
2016-04-12,32,1,204,1,0,0,0,0,1,0
2016-04-19,46,4,298,1,0,0,0,0,1,0
2016-04-26,65,4,287,1,0,0,0,0,1,0
2016-05-03,65,4,269,1,0,0,0,0,1,0
2016-05-10,69,3,337,1,0,0,0,0,1,0
2016-05-17,48,3,246,1,0,0,0,0,1,0
2016-05-24,31,4,304,1,0,0,0,0,1,0
2016-05-31,26,4,186,1,0,0,0,0,1,0
2016-06-07,24,4,299,1,0,0,0,0,1,0
2014-02-11,16,2,160,0,1,0,0,0,0,1
2014-02-18,46,3,163,0,1,0,0,0,0,1
2014-02-25,37,1,246,0,1,0,0,0,0,1
2014-03-04,31,2,264,0,1,0,0,0,0,1
2014-03-11,50,3,231,0,1,0,0,0,0,1
2014-03-18,43,2,144,0,1,0,0,0,0,1
2014-03-25,16,4,245,0,1,0,0,0,0,1
2014-04-01,55,2,317,0,1,0,0,0,0,1
2014-04-08,59,4,278,0,1,0,0,0,0,1
2014-04-15,52,4,151,0,1,0,0,0,0,1
2014-04-22,65,2,204,0,1,0,0,0,0,1
2014-04-29,26,3,135,0,1,0,0,0,0,1
2014-05-06,53,3,171,0,1,0,0,0,0,1
2014-05-13,44,3,225,0,1,0,0,0,0,1
2014-05-20,52,3,155,0,1,0,0,0,0,1
2014-05-27,36,1,158,0,1,0,0,0,0,1
2014-06-03,58,2,222,0,1,0,0,0,0,1
2014-06-10,58,2,389,0,1,0,0,0,0,1
2014-06-17,32,3,204,0,1,0,0,0,0,1
2014-06-24,37,1,151,0,1,0,0,0,0,1
2014-07-01,50,2,157,0,1,0,0,0,0,1
2014-07-08,55,1,142,0,1,0,0,0,0,1
2014-07-15,22,2,139,0,1,0,0,0,0,1
2014-07-22,47,3,140,0,1,0,0,0,0,1
2014-07-29,15,2,288,0,1,0,0,0,0,1
2014-08-05,49,3,139,0,1,0,0,0,0,1
2014-08-12,32,1,139,0,1,0,0,0,0,1
2014-08-19,26,4,152,0,1,0,0,0,0,1
2014-08-26,63,2,140,0,1,0,0,0,0,1
2014-09-02,59,1,141,0,1,0,0,0,0,1
2014-09-09,41,2,210,0,1,0,0,0,0,1
2014-09-16,51,2,128,0,1,0,0,0,0,1
2014-09-23,48,1,159,0,1,0,0,0,0,1
2014-09-30,34,1,252,0,1,0,0,0,0,1
2014-10-07,18,3,120,0,1,0,0,0,0,1
2014-10-14,59,1,142,0,1,0,0,0,0,1
2014-10-21,37,2,241,0,1,0,0,0,0,1
2014-10-28,51,1,121,0,1,0,0,0,0,1
2014-11-04,53,1,234,0,1,0,0,0,0,1
2014-11-11,50,2,237,0,1,0,0,0,0,1
2014-11-18,34,3,176,0,1,0,0,0,0,1
2014-11-25,55,1,262,0,1,0,0,0,0,1
2014-12-02,50,3,134,0,1,0,0,0,0,1
2014-12-09,71,1,168,0,1,0,0,0,0,1
2014-12-16,54,2,261,0,1,0,0,0,0,1
2014-12-23,63,2,491,0,1,0,0,0,0,1
2014-12-30,25,4,319,0,1,0,0,0,0,1
2015-01-06,60,2,237,0,1,0,0,0,0,1
2015-01-13,55,1,512,0,1,0,0,0,0,1
2015-01-20,47,1,378,0,1,0,0,0,0,1
2015-01-27,42,1,342,0,1,0,0,0,0,1
2015-02-03,81,2,238,0,1,0,0,0,0,1
2015-02-10,55,3,328,0,1,0,0,0,0,1
2015-02-17,69,1,138,0,1,0,0,0,0,1
2015-02-24,53,2,435,0,1,0,0,0,0,1
2015-03-03,32,2,529,0,1,0,0,0,0,1
2015-03-10,89,1,669,0,1,0,0,0,0,1
2015-03-17,49,1,278,0,1,0,0,0,0,1
2015-03-24,72,3,287,0,1,0,0,0,0,1
2015-03-31,44,2,393,0,1,0,0,0,0,1
2015-04-07,81,1,250,0,1,0,0,0,0,1
2015-04-14,35,1,333,0,1,0,0,0,0,1
2015-04-21,73,2,235,0,1,0,0,0,0,1
2015-04-28,49,3,333,0,1,0,0,0,0,1
2015-05-05,55,3,145,0,1,0,0,0,0,1
2015-05-12,54,3,252,0,1,0,0,0,0,1
2015-05-19,49,1,155,0,1,0,0,0,0,1
2015-05-26,42,3,406,0,1,0,0,0,0,1
2015-06-02,61,1,488,0,1,0,0,0,0,1
2015-06-09,70,2,141,0,1,0,0,0,0,1
2015-06-16,68,3,239,0,1,0,0,0,0,1
2015-06-23,61,1,274,0,1,0,0,0,0,1
2015-06-30,58,4,360,0,1,0,0,0,0,1
2015-07-07,77,1,396,0,1,0,0,0,0,1
2015-07-14,59,1,252,0,1,0,0,0,0,1
2015-07-21,23,1,159,0,1,0,0,0,0,1
2015-07-28,68,2,160,0,1,0,0,0,0,1
2015-08-04,79,3,215,0,1,0,0,0,0,1
2015-08-11,60,2,328,0,1,0,0,0,0,1
2015-08-18,66,3,234,0,1,0,0,0,0,1
2015-08-25,50,2,152,0,1,0,0,0,0,1
2015-09-01,49,1,153,0,1,0,0,0,0,1
2015-09-08,49,1,143,0,1,0,0,0,0,1
2015-09-15,45,1,125,0,1,0,0,0,0,1
2015-09-22,72,2,120,0,1,0,0,0,0,1
2015-09-29,8,1,124,0,1,0,0,0,0,1
2015-10-06,92,2,154,0,1,0,0,0,0,1
2015-10-13,68,2,145,0,1,0,0,0,0,1
2015-10-20,52,3,136,0,1,0,0,0,0,1
2015-10-27,59,2,145,0,1,0,0,0,0,1
2015-11-03,60,3,271,0,1,0,0,0,0,1
2015-11-10,72,4,263,0,1,0,0,0,0,1
2015-11-17,52,3,310,0,1,0,0,0,0,1
2015-11-24,74,3,224,0,1,0,0,0,0,1
