date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2016-04-05,54,1,440.65015732335564,19.2,8.735714285714286,0.0,54.0,64.0,38.0,32.0,59.50961538461538,-0.9415662686867764
2016-04-12,76,1,203.54175381900433,21.428571428571427,10.8,21.400000000000002,54.0,54.0,64.0,38.0,60.01923076923076,5.7957230843660446
2016-04-19,74,4,298.4194456687624,19.857142857142854,10.114285714285714,7.1,76.0,54.0,54.0,64.0,60.44230769230768,16.186858591265022
2016-04-26,74,4,286.8660532305811,23.47142857142857,10.457142857142857,0.3,74.0,76.0,54.0,54.0,60.75,8.347224867394766
2016-05-03,79,4,269.4393617719913,22.057142857142853,12.757142857142856,0.0,74.0,74.0,76.0,54.0,60.73076923076923,7.4755398614732265
2016-05-10,57,3,337.28538930397275,21.571428571428566,12.757142857142856,1.5,79.0,74.0,74.0,76.0,60.50000000000001,12.693598445295278
2016-05-17,80,3,246.00093016376852,25.571428571428573,10.114285714285714,0.3,57.0,79.0,74.0,74.0,60.221153846153854,3.655246772707067
2016-05-24,88,4,304.0305653202886,22.599999999999998,11.607142857142858,4.1,80.0,57.0,79.0,74.0,60.21153846153847,12.011125869349634
2016-05-31,75,4,186.44626581374865,23.400000000000002,12.192857142857145,0.8,88.0,80.0,57.0,79.0,60.17307692307693,12.735594709581942
2016-06-07,78,4,299.49091352893635,26.114285714285717,10.0,0.0,75.0,88.0,80.0,57.0,60.057692307692314,12.690832780583477
2016-06-14,24,4,311.05292367801707,25.62857142857143,11.828571428571427,0.0,78.0,75.0,88.0,80.0,59.80769230769231,16.597993928508103
2016-06-21,57,4,250.21719197175858,26.599999999999998,9.878571428571428,0.0,24.0,78.0,75.0,88.0,59.20192307692308,3.8833602046378424
2016-06-28,59,4,190.66072179776808,27.55714285714286,12.178571428571429,0.8999999999999999,57.0,24.0,78.0,75.0,58.81730769230769,2.800136737177845
2016-07-05,35,4,248.18695428844677,27.78571428571429,12.87142857142857,0.0,59.0,57.0,24.0,78.0,58.75,-4.651676473871898
2016-07-12,31,4,203.8580739779587,28.32857142857143,11.385714285714286,0.0,35.0,59.0,57.0,24.0,62.289739293618524,-13.010966885358586
2016-07-19,112,4,203.14158359573332,27.857142857142858,9.65,0.0,31.0,35.0,59.0,57.0,62.55302540241283,-28.6082344403654
2016-07-26,107,4,188.19463823458014,27.800000000000004,10.335714285714287,0.0,112.0,31.0,35.0,59.0,62.81631151120713,7.14706210719188
2016-08-02,81,4,198.84217082760918,28.1,8.964285714285714,0.0,107.0,112.0,31.0,35.0,63.07959762000144,11.98152857771444
2016-08-09,83,4,195.3590021704918,28.428571428571434,11.592857142857143,0.0,81.0,107.0,112.0,31.0,63.34288372879574,10.717484490167617
2016-08-16,67,4,206.70080320383815,28.800000000000004,9.65,0.0,83.0,81.0,107.0,112.0,63.606169837590045,-0.07540575122534798
2016-08-23,92,4,366.0384941686926,28.414285714285715,7.707142857142857,0.0,67.0,83.0,81.0,107.0,63.86945594638435,3.2823450330227013
2016-08-30,72,4,175.79121628399915,29.057142857142857,8.507142857142856,0.0,92.0,67.0,83.0,81.0,64.13274205517865,7.684967612142549
2016-09-06,53,4,176.49892546568225,27.714285714285715,9.192857142857141,0.0,72.0,92.0,67.0,83.0,64.39602816397296,-2.29061493694273
2016-09-13,26,4,179.12926643453048,27.400000000000002,8.507142857142856,0.0,53.0,72.0,92.0,67.0,64.65931427276726,0.6536743088437819
2016-09-20,37,4,289.3895129962328,27.328571428571426,8.507142857142856,0.0,26.0,53.0,72.0,92.0,64.92260038156157,-15.055882599215856
2016-09-27,61,4,307.54904020174666,26.14285714285714,10.8,0.5,37.0,26.0,53.0,72.0,65.18588649035587,-7.823131814967803
2016-10-04,77,4,185.25333005055262,26.12857142857143,9.65,0.0,61.0,37.0,26.0,53.0,65.44917259915017,-11.285893851232574
2016-10-11,83,4,186.94261838321796,25.17142857142857,7.135714285714286,0.0,77.0,61.0,37.0,26.0,65.71245870794448,1.2737800099385517
2016-10-18,69,4,176.60183126047497,25.071428571428577,9.992857142857144,0.0,83.0,77.0,61.0,37.0,65.97574481673878,12.077043614699425
2016-10-25,70,3,186.5689113682952,23.78571428571429,8.507142857142858,0.0,69.0,83.0,77.0,61.0,66.2390309255331,7.534153373306447
2016-11-01,44,3,174.81304200561692,24.371428571428567,12.985714285714286,14.0,70.0,69.0,83.0,77.0,66.5023170343274,6.693186208836554
2016-11-08,59,4,237.2524793891038,20.8,9.771428571428572,0.0,44.0,70.0,69.0,83.0,66.76560314312171,-1.2214989043512872
2016-11-15,62,4,173.0170103369163,23.0,9.421428571428573,0.0,59.0,44.0,70.0,69.0,67.02888925191601,4.876636495281381
2016-11-22,41,4,173.6872849994055,20.47142857142857,9.428571428571429,0.0,62.0,59.0,44.0,70.0,67.29217536071032,13.36259240773456
2016-11-29,60,4,172.73441365359787,18.585714285714285,9.192857142857145,0.0,41.0,62.0,59.0,44.0,67.55546146950462,-8.90786193622252
2016-12-06,41,4,190.56605682498213,17.32857142857143,16.67142857142857,0.0,60.0,41.0,62.0,59.0,67.81874757829893,2.8409144890511735
2016-12-13,37,4,196.64253618040146,15.399999999999997,12.514285714285716,0.0,41.0,60.0,41.0,62.0,68.08203368709323,-9.695565495931541
2016-12-20,52,1,198.6435381946113,11.814285714285713,13.664285714285713,0.0,37.0,41.0,60.0,41.0,68.34531979588753,-3.3987121475809294
2016-12-27,48,3,163.31881767666232,13.714285714285714,18.157142857142855,0.0,52.0,37.0,41.0,60.0,68.60860590468184,-10.018525465896978
2017-01-03,27,2,194.84700830579627,14.45,31.975,2.3,48.0,52.0,37.0,41.0,68.87189201347614,-7.16718493805918
