date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-05-24,31,40.0,24.0,53.0,35.0,25.0,38.307692307692314,10.71047400762248
2016-05-31,39,31.0,40.0,24.0,53.0,35.0,38.019230769230774,-4.470291063840962
2016-06-07,41,39.0,31.0,40.0,24.0,53.0,38.125,2.566892582644316
2016-06-14,21,41.0,39.0,31.0,40.0,24.0,38.153846153846146,0.8668967419501098
2016-06-21,22,21.0,41.0,39.0,31.0,40.0,38.00961538461538,-11.121560637205642
2016-06-28,35,22.0,21.0,41.0,39.0,31.0,37.88461538461538,-7.09719750354088
2016-07-05,23,35.0,22.0,21.0,41.0,39.0,37.490384615384606,-6.069629241670986
2016-07-12,14,23.0,35.0,22.0,21.0,41.0,38.214059082938775,-10.446747340780682
2016-07-19,42,14.0,23.0,35.0,22.0,21.0,38.394072742974636,-15.594568247640689
2016-07-26,52,42.0,14.0,23.0,35.0,22.0,38.574086403010476,-10.380209667321214
2016-08-02,29,52.0,42.0,14.0,23.0,35.0,38.754100063046344,-2.7748254459760924
2016-08-09,29,29.0,52.0,42.0,14.0,23.0,38.934113723082206,-13.725326286593685
2016-08-16,55,29.0,29.0,52.0,42.0,14.0,39.11412738311806,3.5415922369841035
2016-08-23,44,55.0,29.0,29.0,52.0,42.0,39.29414104315392,1.9815876836388204
2016-08-30,33,44.0,55.0,29.0,29.0,52.0,39.474154703189775,1.7965831302935344
2016-09-06,28,33.0,44.0,55.0,29.0,29.0,39.65416836322563,-5.452523987154316
2016-09-13,33,28.0,33.0,44.0,55.0,29.0,39.83418202326149,-11.653554181525244
2016-09-20,34,33.0,28.0,33.0,44.0,55.0,40.01419568329735,-9.816122837434634
2016-09-27,66,34.0,33.0,28.0,33.0,44.0,40.1942093433332,-7.962665852318379
2016-10-04,50,66.0,34.0,33.0,28.0,33.0,40.37422300336907,2.8266885686953094
2016-10-11,60,50.0,66.0,34.0,33.0,28.0,40.55423666340492,-3.4480595743935667
2016-10-18,52,60.0,50.0,66.0,34.0,33.0,40.73425032344077,15.568858949184225
2016-10-25,50,52.0,60.0,50.0,66.0,34.0,40.91426398347664,-2.3693507323661898
2016-11-01,33,50.0,52.0,60.0,50.0,66.0,41.09427764351249,4.067439586083396
2016-11-08,35,33.0,50.0,52.0,60.0,50.0,41.27429130354835,-8.351539326236251
2016-11-15,26,35.0,33.0,50.0,52.0,60.0,41.454304963584214,1.5884561204184657
2016-11-22,40,26.0,35.0,33.0,50.0,52.0,41.63431862362006,1.9899900286116436
2016-11-29,53,40.0,26.0,35.0,33.0,50.0,41.81433228365592,7.70242137270225
2016-12-06,40,53.0,40.0,26.0,35.0,33.0,41.99434594369178,3.3763911783313225
2016-12-13,36,40.0,53.0,40.0,26.0,35.0,42.17435960372764,3.01510457370399
2016-12-20,44,36.0,40.0,53.0,40.0,26.0,42.35437326376349,-2.993617928359245
2016-12-27,45,44.0,36.0,40.0,53.0,40.0,42.53438692379935,7.734839056757005
2017-01-03,33,45.0,44.0,36.0,40.0,53.0,42.71440058383522,15.787013990591207
