demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
41,2,210.15648967129678,28.571428571428577,11.6,0.0,59.0,63.0,26.0,32.0,49.0,46.95192307692307,-0.2876202709787794
51,2,127.68577111437149,28.1,15.164285714285715,0.0,41.0,59.0,63.0,26.0,32.0,47.33653846153846,6.930047557009847
48,1,158.59826831992697,27.7,14.235714285714286,0.0,51.0,41.0,59.0,63.0,26.0,47.769230769230774,-12.518951281668196
34,1,251.96159610520385,26.6,22.300000000000004,16.0,48.0,51.0,41.0,59.0,63.0,48.365384615384606,-0.07371935111546847
18,3,120.26244551510351,25.342857142857138,13.192857142857141,8.9,34.0,48.0,51.0,41.0,59.0,48.79807692307693,-2.8560515231268413
59,1,141.70898315820412,25.17142857142857,10.678571428571429,5.8,18.0,34.0,48.0,51.0,41.0,48.903846153846146,9.390462458707935
37,2,241.269479438795,22.7,15.971428571428573,29.800000000000004,59.0,18.0,34.0,48.0,51.0,48.95192307692307,7.284412337978614
51,1,121.2296599827298,23.228571428571428,10.571428571428571,0.0,37.0,59.0,18.0,34.0,48.0,48.86538461538462,0.9732340121210854
53,1,234.01050395106338,21.828571428571426,11.95,16.5,51.0,37.0,59.0,18.0,34.0,49.16346153846153,10.235773634981507
50,2,237.09754485573674,20.628571428571426,8.735714285714286,0.0,53.0,51.0,37.0,59.0,18.0,49.403846153846146,2.139338898867567
34,3,176.18147371500538,20.4,11.714285714285715,46.3,50.0,53.0,51.0,37.0,59.0,49.51923076923076,17.401878521727994
55,1,261.9147598367712,18.18571428571429,17.928571428571427,37.9,34.0,50.0,53.0,51.0,37.0,49.58653846153847,-20.611222881052626
50,3,134.393734517519,17.7,12.985714285714286,19.3,55.0,34.0,50.0,53.0,51.0,49.615384615384606,11.067983408474467
71,1,167.50560593542014,20.4,9.428571428571429,13.0,50.0,55.0,34.0,50.0,53.0,49.70192307692307,-3.0797333789215218
54,2,261.457238154341,18.414285714285715,13.664285714285715,6.699999999999998,71.0,50.0,55.0,34.0,50.0,49.846153846153854,-2.2595014483688014
63,2,491.394636770253,17.014285714285712,10.571428571428571,17.0,54.0,71.0,50.0,55.0,34.0,50.30769230769231,-14.855936184482735
25,4,319.498671941728,16.75714285714286,14.592857142857143,3.0,63.0,54.0,71.0,50.0,55.0,50.88461538461538,4.525193181967428
60,2,236.8490643520759,14.914285714285715,18.95,34.6,25.0,63.0,54.0,71.0,50.0,51.19230769230769,-35.20906206696702
55,1,511.7760807547797,10.157142857142855,15.52142857142857,17.8,60.0,25.0,63.0,54.0,71.0,51.48076923076921,-0.4713740225631392
47,1,378.4098319062547,14.357142857142856,10.335714285714287,16.3,55.0,60.0,25.0,63.0,54.0,52.04807692307693,6.038241362052244
42,1,342.04500762797335,16.614285714285714,8.735714285714286,0.0,47.0,55.0,60.0,25.0,63.0,52.17307692307693,-8.880027868716986
81,2,238.2593286643031,15.957142857142856,14.821428571428571,16.0,42.0,47.0,55.0,60.0,25.0,52.45192307692307,-11.706950945640068
55,3,328.21376989662764,16.842857142857145,19.76428571428571,9.4,81.0,42.0,47.0,55.0,60.0,53.25000000000001,13.559997951815538
69,1,137.89196640059237,12.371428571428574,22.071428571428577,41.2,55.0,81.0,42.0,47.0,55.0,53.80769230769232,6.003999193039951
53,2,434.52163652403084,11.828571428571431,17.571428571428573,22.0,69.0,55.0,81.0,42.0,47.0,54.46153846153847,4.069795306059239
32,2,529.2205090613355,16.928571428571427,14.578571428571431,4.8,53.0,69.0,55.0,81.0,42.0,54.721153846153854,3.7093093677964735
89,1,668.8810772298386,18.342857142857145,9.421428571428573,0.3,32.0,53.0,69.0,55.0,81.0,54.49999999999999,-8.212074006363729
49,1,278.0753279508005,16.52857142857143,14.585714285714287,6.3,89.0,32.0,53.0,69.0,55.0,54.480769230769226,12.61013236306581
72,3,287.2448691716446,16.285714285714285,20.45714285714286,6.6,49.0,89.0,32.0,53.0,69.0,54.5,4.477210527367145
44,2,392.8115727000725,18.81428571428572,12.757142857142856,2.6,72.0,49.0,89.0,32.0,53.0,54.67307692307693,-5.479429257049474
81,1,249.79011004945184,18.32857142857143,15.171428571428573,0.0,44.0,72.0,49.0,89.0,32.0,54.65384615384616,-1.0995305799276305
35,1,333.07868317493063,16.52857142857143,18.95,27.800000000000004,81.0,44.0,72.0,49.0,89.0,55.11538461538462,21.719470661296786
73,2,235.0583756769028,18.885714285714286,15.75,0.6,35.0,81.0,44.0,72.0,49.0,55.91346153846154,-5.54806655901726
49,3,332.6924391872425,19.428571428571427,19.29285714285714,1.3,73.0,35.0,81.0,44.0,72.0,56.144230769230774,8.585037246309723
55,3,144.99572085524701,21.04285714285714,14.242857142857144,0.6,49.0,73.0,35.0,81.0,44.0,56.365384615384606,-9.73057689708125
54,3,251.63810573525055,21.814285714285717,12.064285714285715,2.3,55.0,49.0,73.0,35.0,81.0,56.509615384615394,-3.9372166814978655
49,1,155.02993560344143,24.74285714285714,13.442857142857143,3.1,54.0,55.0,49.0,73.0,35.0,56.78846153846154,0.14781020075219273
42,3,406.1898188511355,24.2,14.135714285714286,0.6,49.0,54.0,55.0,49.0,73.0,57.17307692307693,20.960401185566344
