date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-01-26,50,2,74.0,46.0,57.0,88.0,79.0,55.19230769230769,4.403636580930248
2016-02-02,49,3,50.0,74.0,46.0,57.0,88.0,56.35576923076924,-5.476171111377453
2016-02-09,56,3,49.0,50.0,74.0,46.0,57.0,57.259615384615394,-6.803094188300529
2016-02-16,53,2,56.0,49.0,50.0,74.0,46.0,58.08653846153847,3.2301370231301236
2016-02-23,58,2,53.0,56.0,49.0,50.0,74.0,59.134615384615394,-1.8800714456542866
2016-03-01,58,3,58.0,53.0,56.0,49.0,50.0,60.26923076923079,-0.695408119566902
2016-03-08,39,1,58.0,58.0,53.0,56.0,49.0,61.19230769230771,-0.8248473575820812
2016-03-15,36,1,39.0,58.0,58.0,53.0,56.0,61.76923076923079,-4.521594287904951
2016-03-22,39,1,36.0,39.0,58.0,58.0,53.0,61.951923076923094,-11.074110448997054
2016-03-29,42,1,39.0,36.0,39.0,58.0,58.0,62.71153846153847,-9.742011225473773
2016-04-05,66,1,42.0,39.0,36.0,39.0,58.0,64.48076923076924,-10.24965559169408
2016-04-12,54,1,66.0,42.0,39.0,36.0,39.0,66.28846153846155,-0.17396662458105538
2016-04-19,60,4,54.0,66.0,42.0,39.0,36.0,67.625,-5.123918683109051
2016-04-26,64,4,60.0,54.0,66.0,42.0,39.0,68.17307692307692,-5.843101510867823
2016-05-03,53,4,64.0,60.0,54.0,66.0,42.0,68.71153846153845,-3.886002287344534
2016-05-10,52,3,53.0,64.0,60.0,54.0,66.0,69.88461538461539,-10.098774858693051
2016-05-17,61,3,52.0,53.0,64.0,60.0,54.0,70.76923076923076,-11.910906404400539
2016-05-24,70,4,61.0,52.0,53.0,64.0,60.0,71.52884615384616,-9.033935386005462
2016-05-31,77,4,70.0,61.0,52.0,53.0,64.0,72.69230769230771,-5.557605393251411
2016-06-07,75,4,77.0,70.0,61.0,52.0,53.0,73.51923076923076,-5.32166001588197
2016-06-14,64,4,75.0,77.0,70.0,61.0,52.0,73.99038461538463,-0.6369966897945922
