date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2015-08-25,50,66,60,79,68,23
2015-09-01,49,50,66,60,79,68
2015-09-08,49,49,50,66,60,79
2015-09-15,45,49,49,50,66,60
2015-09-22,72,45,49,49,50,66
2015-09-29,8,72,45,49,49,50
2015-10-06,92,8,72,45,49,49
2015-10-13,68,92,8,72,45,49
2015-10-20,52,68,92,8,72,45
2015-10-27,59,52,68,92,8,72
2015-11-03,60,59,52,68,92,8
2015-11-10,72,60,59,52,68,92
2015-11-17,52,72,60,59,52,68
2015-11-24,74,52,72,60,59,52
2015-12-01,73,74,52,72,60,59
2015-12-08,63,73,74,52,72,60
2015-12-15,51,63,73,74,52,72
2015-12-22,90,51,63,73,74,52
2015-12-29,42,90,51,63,73,74
2016-01-05,61,42,90,51,63,73
2016-01-12,79,61,42,90,51,63
2016-01-19,58,79,61,42,90,51
2016-01-26,59,58,79,61,42,90
2016-02-02,72,59,58,79,61,42
2016-02-09,113,72,59,58,79,61
2016-02-16,65,113,72,59,58,79
2016-02-23,90,65,113,72,59,58
2016-03-01,82,90,65,113,72,59
2016-03-08,70,82,90,65,113,72
2016-03-15,94,70,82,90,65,113
2016-03-22,69,94,70,82,90,65
2016-03-29,73,69,94,70,82,90
2016-04-05,103,73,69,94,70,82
2016-04-12,76,103,73,69,94,70
2016-04-19,69,76,103,73,69,94
2016-04-26,79,69,76,103,73,69
2016-05-03,65,79,69,76,103,73
2016-05-10,89,65,79,69,76,103
2016-05-17,150,89,65,79,69,76
2016-05-24,73,150,89,65,79,69
2016-05-31,102,73,150,89,65,79
2016-06-07,105,102,73,150,89,65
2014-02-11,9,13,10,13,12,4
2014-02-18,9,9,13,10,13,12
2014-02-25,7,9,9,13,10,13
2014-03-04,6,7,9,9,13,10
2014-03-11,20,6,7,9,9,13
2014-03-18,11,20,6,7,9,9
2014-03-25,10,11,20,6,7,9
2014-04-01,14,10,11,20,6,7
2014-04-08,13,14,10,11,20,6
2014-04-15,15,13,14,10,11,20
2014-04-22,17,15,13,14,10,11
2014-04-29,8,17,15,13,14,10
2014-05-06,8,8,17,15,13,14
2014-05-13,20,8,8,17,15,13
2014-05-20,19,20,8,8,17,15
2014-05-27,13,19,20,8,8,17
2014-06-03,15,13,19,20,8,8
2014-06-10,17,15,13,19,20,8
2014-06-17,17,17,15,13,19,20
2014-06-24,9,17,17,15,13,19
2014-07-01,6,9,17,17,15,13
2014-07-08,8,6,9,17,17,15
2014-07-15,7,8,6,9,17,17
2014-07-22,15,7,8,6,9,17
2014-07-29,10,15,7,8,6,9
2014-08-05,1,10,15,7,8,6
2014-08-12,13,1,10,15,7,8
2014-08-19,13,13,1,10,15,7
2014-08-26,7,13,13,1,10,15
2014-09-02,12,7,13,13,1,10
2014-09-09,4,12,7,13,13,1
2014-09-16,22,4,12,7,13,13
2014-09-23,6,22,4,12,7,13
2014-09-30,21,6,22,4,12,7
2014-10-07,13,21,6,22,4,12
2014-10-14,6,13,21,6,22,4
2014-10-21,28,6,13,21,6,22
2014-10-28,28,28,6,13,21,6
2014-11-04,22,28,28,6,13,21
2014-11-11,11,22,28,28,6,13
2014-11-18,29,11,22,28,28,6
2014-11-25,24,29,11,22,28,28
2014-12-02,27,24,29,11,22,28
2014-12-09,10,27,24,29,11,22
2014-12-16,30,10,27,24,29,11
2014-12-23,14,30,10,27,24,29
2014-12-30,12,14,30,10,27,24
2015-01-06,6,12,14,30,10,27
2015-01-13,1,6,12,14,30,10
2015-01-20,7,1,6,12,14,30
2015-01-27,20,7,1,6,12,14
2015-02-03,11,20,7,1,6,12
2015-02-10,21,11,20,7,1,6
2015-02-17,1,21,11,20,7,1
2015-02-24,9,1,21,11,20,7
2015-03-03,15,9,1,21,11,20
2015-03-10,12,15,9,1,21,11
2015-03-17,12,12,15,9,1,21
2015-03-24,3,12,12,15,9,1
2015-03-31,17,3,12,12,15,9
2015-04-07,16,17,3,12,12,15
2015-04-14,14,16,17,3,12,12
2015-04-21,17,14,16,17,3,12
2015-04-28,8,17,14,16,17,3
2015-05-05,9,8,17,14,16,17
2015-05-12,13,9,8,17,14,16
2015-05-19,17,13,9,8,17,14
2015-05-26,7,17,13,9,8,17
2015-06-02,9,7,17,13,9,8
2015-06-09,23,9,7,17,13,9
2015-06-16,96,23,9,7,17,13
2015-06-23,71,96,23,9,7,17
2015-06-30,47,71,96,23,9,7
2015-07-07,84,47,71,96,23,9
2015-07-14,67,84,47,71,96,23
2015-07-21,28,67,84,47,71,96
2015-07-28,91,28,67,84,47,71
2015-08-04,96,91,28,67,84,47
2015-08-11,73,96,91,28,67,84
2015-08-18,78,73,96,91,28,67
2015-08-25,69,78,73,96,91,28
2015-09-01,71,69,78,73,96,91
2015-09-08,68,71,69,78,73,96
2015-09-15,56,68,71,69,78,73
2015-09-22,79,56,68,71,69,78
2015-09-29,23,79,56,68,71,69
2015-10-06,87,23,79,56,68,71
2015-10-13,88,87,23,79,56,68
2015-10-20,79,88,87,23,79,56
2015-10-27,100,79,88,87,23,79
2015-11-03,78,100,79,88,87,23
2015-11-10,54,78,100,79,88,87
2015-11-17,88,54,78,100,79,88
2015-11-24,64,88,54,78,100,79
2015-12-01,73,64,88,54,78,100
2015-12-08,90,73,64,88,54,78
2015-12-15,93,90,73,64,88,54
2015-12-22,89,93,90,73,64,88
2015-12-29,82,89,93,90,73,64
2016-01-05,52,82,89,93,90,73
2016-01-12,81,52,82,89,93,90
2016-01-19,71,81,52,82,89,93
2016-01-26,38,71,81,52,82,89
2016-02-02,55,38,71,81,52,82
2016-02-09,91,55,38,71,81,52
2016-02-16,66,91,55,38,71,81
2016-02-23,70,66,91,55,38,71
2016-03-01,70,70,66,91,55,38
2016-03-08,67,70,70,66,91,55
2016-03-15,66,67,70,70,66,91
2016-03-22,55,66,67,70,70,66
2016-03-29,57,55,66,67,70,70
2016-04-05,59,57,55,66,67,70
2016-04-12,56,59,57,55,66,67
2016-04-19,48,56,59,57,55,66
2016-04-26,54,48,56,59,57,55
2016-05-03,49,54,48,56,59,57
2016-05-10,46,49,54,48,56,59
2016-05-17,57,46,49,54,48,56
2016-05-24,68,57,46,49,54,48
2016-05-31,72,68,57,46,49,54
2016-06-07,37,72,68,57,46,49
