date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2015-12-29,88,261,1,0,0,0,1,0,0
2016-01-05,57,225,1,0,0,0,1,0,0
2016-01-12,46,273,1,0,0,0,1,0,0
2016-01-19,74,315,1,0,0,0,1,0,0
2016-01-26,50,262,1,0,0,0,1,0,0
2016-02-02,49,574,1,0,0,0,1,0,0
2016-02-09,56,341,1,0,0,0,1,0,0
2016-02-16,53,267,1,0,0,0,1,0,0
2016-02-23,58,361,1,0,0,0,1,0,0
2016-03-01,58,338,1,0,0,0,1,0,0
2016-03-08,39,330,1,0,0,0,1,0,0
2016-03-15,36,196,1,0,0,0,1,0,0
2016-03-22,39,384,1,0,0,0,1,0,0
2016-03-29,42,345,1,0,0,0,1,0,0
2016-04-05,66,449,1,0,0,0,1,0,0
2016-04-12,54,218,1,0,0,0,1,0,0
2016-04-19,60,315,1,0,0,0,1,0,0
2016-04-26,64,309,1,0,0,0,1,0,0
2016-05-03,53,289,1,0,0,0,1,0,0
2016-05-10,52,348,1,0,0,0,1,0,0
2016-05-17,61,265,1,0,0,0,1,0,0
2016-05-24,70,321,1,0,0,0,1,0,0
2016-05-31,77,195,1,0,0,0,1,0,0
2016-06-07,75,328,1,0,0,0,1,0,0
2014-02-11,22,186,1,0,0,0,0,1,0
2014-02-18,15,182,1,0,0,0,0,1,0
2014-02-25,27,263,1,0,0,0,0,1,0
2014-03-04,30,277,1,0,0,0,0,1,0
2014-03-11,83,248,1,0,0,0,0,1,0
2014-03-18,44,158,1,0,0,0,0,1,0
2014-03-25,29,258,1,0,0,0,0,1,0
2014-04-01,56,329,1,0,0,0,0,1,0
2014-04-08,14,286,1,0,0,0,0,1,0
2014-04-15,29,156,1,0,0,0,0,1,0
2014-04-22,46,211,1,0,0,0,0,1,0
2014-04-29,18,145,1,0,0,0,0,1,0
2014-05-06,20,180,1,0,0,0,0,1,0
2014-05-13,24,230,1,0,0,0,0,1,0
2014-05-20,48,170,1,0,0,0,0,1,0
2014-05-27,33,177,1,0,0,0,0,1,0
2014-06-03,41,232,1,0,0,0,0,1,0
2014-06-10,34,398,1,0,0,0,0,1,0
2014-06-17,16,208,1,0,0,0,0,1,0
2014-06-24,22,152,1,0,0,0,0,1,0
2014-07-01,34,163,1,0,0,0,0,1,0
2014-07-08,29,142,1,0,0,0,0,1,0
2014-07-15,20,140,1,0,0,0,0,1,0
2014-07-22,25,148,1,0,0,0,0,1,0
2014-07-29,6,294,1,0,0,0,0,1,0
2014-08-05,17,140,1,0,0,0,0,1,0
2014-08-12,31,148,1,0,0,0,0,1,0
2014-08-19,20,165,1,0,0,0,0,1,0
2014-08-26,25,152,1,0,0,0,0,1,0
2014-09-02,31,149,1,0,0,0,0,1,0
2014-09-09,57,217,1,0,0,0,0,1,0
2014-09-16,32,135,1,0,0,0,0,1,0
2014-09-23,44,170,1,0,0,0,0,1,0
2014-09-30,45,264,1,0,0,0,0,1,0
2014-10-07,6,129,1,0,0,0,0,1,0
2014-10-14,45,147,1,0,0,0,0,1,0
2014-10-21,52,244,1,0,0,0,0,1,0
2014-10-28,34,128,1,0,0,0,0,1,0
2014-11-04,59,245,1,0,0,0,0,1,0
2014-11-11,59,247,1,0,0,0,0,1,0
2014-11-18,49,183,1,0,0,0,0,1,0
2014-11-25,44,270,1,0,0,0,0,1,0
2014-12-02,42,137,1,0,0,0,0,1,0
2014-12-09,58,172,1,0,0,0,0,1,0
2014-12-16,56,274,1,0,0,0,0,1,0
2014-12-23,61,496,1,0,0,0,0,1,0
2014-12-30,59,327,1,0,0,0,0,1,0
2015-01-06,32,243,1,0,0,0,0,1,0
2015-01-13,44,533,1,0,0,0,0,1,0
2015-01-20,51,398,1,0,0,0,0,1,0
2015-01-27,66,357,1,0,0,0,0,1,0
2015-02-03,66,248,1,0,0,0,0,1,0
2015-02-10,49,330,1,0,0,0,0,1,0
2015-02-17,48,143,1,0,0,0,0,1,0
2015-02-24,58,438,1,0,0,0,0,1,0
2015-03-03,54,544,1,0,0,0,0,1,0
2015-03-10,76,676,1,0,0,0,0,1,0
2015-03-17,82,289,1,0,0,0,0,1,0
2015-03-24,64,294,1,0,0,0,0,1,0
2015-03-31,72,406,1,0,0,0,0,1,0
2015-04-07,85,250,1,0,0,0,0,1,0
2015-04-14,63,339,1,0,0,0,0,1,0
2015-04-21,60,236,1,0,0,0,0,1,0
2015-04-28,66,335,1,0,0,0,0,1,0
2015-05-05,61,148,1,0,0,0,0,1,0
2015-05-12,54,261,1,0,0,0,0,1,0
2015-05-19,41,161,1,0,0,0,0,1,0
2015-05-26,46,416,1,0,0,0,0,1,0
2015-06-02,40,505,1,0,0,0,0,1,0
2015-06-09,48,148,1,0,0,0,0,1,0
2015-06-16,45,248,1,0,0,0,0,1,0
2015-06-23,45,285,1,0,0,0,0,1,0
2015-06-30,53,366,1,0,0,0,0,1,0
2015-07-07,54,399,1,0,0,0,0,1,0
2015-07-14,44,255,1,0,0,0,0,1,0
2015-07-21,35,164,1,0,0,0,0,1,0
2015-07-28,68,165,1,0,0,0,0,1,0
2015-08-04,69,226,1,0,0,0,0,1,0
2015-08-11,39,338,1,0,0,0,0,1,0
2015-08-18,53,242,1,0,0,0,0,1,0
2015-08-25,59,167,1,0,0,0,0,1,0
2015-09-01,57,156,1,0,0,0,0,1,0
2015-09-08,60,150,1,0,0,0,0,1,0
2015-09-15,73,120,1,0,0,0,0,1,0
2015-09-22,64,118,1,0,0,0,0,1,0
2015-09-29,31,120,1,0,0,0,0,1,0
2015-10-06,85,167,1,0,0,0,0,1,0
2015-10-13,60,154,1,0,0,0,0,1,0
2015-10-20,73,149,1,0,0,0,0,1,0
2015-10-27,62,157,1,0,0,0,0,1,0
2015-11-03,78,283,1,0,0,0,0,1,0
2015-11-10,78,275,1,0,0,0,0,1,0
2015-11-17,76,319,1,0,0,0,0,1,0
2015-11-24,69,234,1,0,0,0,0,1,0
2015-12-01,87,178,1,0,0,0,0,1,0
2015-12-08,91,264,1,0,0,0,0,1,0
2015-12-15,79,236,1,0,0,0,0,1,0
2015-12-22,107,288,1,0,0,0,0,1,0
2015-12-29,91,245,1,0,0,0,0,1,0
2016-01-05,82,207,1,0,0,0,0,1,0
2016-01-12,76,261,1,0,0,0,0,1,0
2016-01-19,72,287,1,0,0,0,0,1,0
2016-01-26,57,235,1,0,0,0,0,1,0
2016-02-02,66,552,1,0,0,0,0,1,0
2016-02-09,38,329,1,0,0,0,0,1,0
2016-02-16,28,250,1,0,0,0,0,1,0
2016-02-23,26,345,1,0,0,0,0,1,0
2016-03-01,21,329,1,0,0,0,0,1,0
2016-03-08,18,315,1,0,0,0,0,1,0
