date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-02-24,58,437.928780015276,48.0,49.0,66.0,66.0,51.0,51.394230769230774,-14.630364102071535
2015-03-03,54,543.890244487772,58.0,48.0,49.0,66.0,66.0,52.03846153846154,-8.209115905349508
2015-03-10,76,676.429951648845,54.0,58.0,48.0,49.0,66.0,52.61538461538462,-10.464149759909537
2015-03-17,82,289.4455708326017,76.0,54.0,58.0,48.0,49.0,52.894230769230774,13.415431770145831
2015-03-24,64,293.8561287895166,82.0,76.0,54.0,58.0,48.0,53.3173076923077,7.307833813021704
2015-03-31,72,406.24290334188566,64.0,82.0,76.0,54.0,58.0,53.903846153846146,0.3893384200001484
2015-04-07,85,249.80694004045944,72.0,64.0,82.0,76.0,54.0,53.96153846153847,13.454817385952945
2015-04-14,63,339.2408266600142,85.0,72.0,64.0,82.0,76.0,54.58653846153847,1.4337578903672834
2015-04-21,60,235.8041949035175,63.0,85.0,72.0,64.0,82.0,55.49038461538462,-5.648199041115816
2015-04-28,66,334.6220287735815,60.0,63.0,85.0,72.0,64.0,55.836538461538474,3.3852286427856995
2015-05-05,61,147.7523274445889,66.0,60.0,63.0,85.0,72.0,56.30769230769232,2.0532717113026018
2015-05-12,54,260.7197065295859,61.0,66.0,60.0,63.0,85.0,56.759615384615394,0.8206737541784768
2015-05-19,41,160.72669000091332,54.0,61.0,66.0,60.0,63.0,57.125,0.9983322073107636
2015-05-26,46,416.49747286204354,41.0,54.0,61.0,66.0,60.0,57.56730769230769,-2.570804211351824
2015-06-02,40,504.73709285072374,46.0,41.0,54.0,61.0,66.0,58.06730769230769,-11.848273963347745
2015-06-09,48,147.8564842497624,40.0,46.0,41.0,54.0,61.0,58.74038461538462,-13.196256535856485
2015-06-16,45,248.16637839808118,48.0,40.0,46.0,41.0,54.0,59.49038461538462,-13.810264749390864
2015-06-23,45,284.6151630807675,45.0,48.0,40.0,46.0,41.0,60.028846153846146,-23.07170886036114
2015-06-30,53,366.3959753678413,45.0,45.0,48.0,40.0,46.0,60.69230769230769,-20.156870920049368
2015-07-07,54,398.784088038704,53.0,45.0,45.0,48.0,40.0,61.44230769230769,-14.87664836435298
2015-07-14,44,255.43835894038497,54.0,53.0,45.0,45.0,48.0,62.23076923076921,-16.984433900695485
2015-07-21,35,164.44523865453291,44.0,54.0,53.0,45.0,45.0,63.019230769230774,-25.631986231329645
2015-07-28,68,165.34012215829915,35.0,44.0,54.0,53.0,45.0,63.52884615384616,-22.51992317734843
2015-08-04,69,226.20350221911065,68.0,35.0,44.0,54.0,53.0,63.64423076923079,-13.276449866956954
2015-08-11,39,338.1664309546827,69.0,68.0,35.0,44.0,54.0,63.55769230769232,-14.605866475064984
2015-08-18,53,241.9945633346221,39.0,69.0,68.0,35.0,44.0,63.45192307692307,-21.626590079344243
2015-08-25,59,166.71196639574237,53.0,39.0,69.0,68.0,35.0,63.15384615384616,-18.602441888751727
2015-09-01,57,155.89001013322988,59.0,53.0,39.0,69.0,68.0,62.65384615384616,-7.190473185338679
2015-09-08,60,150.36836691986392,57.0,59.0,53.0,39.0,69.0,62.02884615384617,-8.707991661412821
2015-09-15,73,119.73695048369845,60.0,57.0,59.0,53.0,39.0,61.153846153846146,0.9796180676412418
2015-09-22,64,117.56951795130188,73.0,60.0,57.0,59.0,53.0,60.12500000000001,-3.3263619468944383
2015-09-29,31,119.9405160641516,64.0,73.0,60.0,57.0,59.0,59.48076923076924,9.10483752574937
2015-10-06,85,166.95558448410063,31.0,64.0,73.0,60.0,57.0,59.10576923076924,-6.8165271041709286
2015-10-13,60,153.81295664374167,85.0,31.0,64.0,73.0,60.0,58.51923076923079,-0.11609686229635095
2015-10-20,73,148.7848177555266,60.0,85.0,31.0,64.0,73.0,57.836538461538474,9.225359020603863
2015-10-27,62,156.9651965226074,73.0,60.0,85.0,31.0,64.0,57.40384615384616,14.666173877863054
