date,demand,civilians_rank,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2016-03-15,33,1,1,0,0,0,0,1,0
2016-03-22,46,1,1,0,0,0,0,1,0
2016-03-29,51,1,1,0,0,0,0,1,0
2016-04-05,45,1,1,0,0,0,0,1,0
2016-04-12,32,1,1,0,0,0,0,1,0
2016-04-19,46,4,1,0,0,0,0,1,0
2016-04-26,65,4,1,0,0,0,0,1,0
2016-05-03,65,4,1,0,0,0,0,1,0
2016-05-10,69,3,1,0,0,0,0,1,0
2016-05-17,48,3,1,0,0,0,0,1,0
2016-05-24,31,4,1,0,0,0,0,1,0
2016-05-31,26,4,1,0,0,0,0,1,0
2016-06-07,24,4,1,0,0,0,0,1,0
2014-02-11,16,2,0,1,0,0,0,0,1
2014-02-18,46,3,0,1,0,0,0,0,1
2014-02-25,37,1,0,1,0,0,0,0,1
2014-03-04,31,2,0,1,0,0,0,0,1
2014-03-11,50,3,0,1,0,0,0,0,1
2014-03-18,43,2,0,1,0,0,0,0,1
2014-03-25,16,4,0,1,0,0,0,0,1
2014-04-01,55,2,0,1,0,0,0,0,1
2014-04-08,59,4,0,1,0,0,0,0,1
2014-04-15,52,4,0,1,0,0,0,0,1
2014-04-22,65,2,0,1,0,0,0,0,1
2014-04-29,26,3,0,1,0,0,0,0,1
2014-05-06,53,3,0,1,0,0,0,0,1
2014-05-13,44,3,0,1,0,0,0,0,1
2014-05-20,52,3,0,1,0,0,0,0,1
2014-05-27,36,1,0,1,0,0,0,0,1
2014-06-03,58,2,0,1,0,0,0,0,1
2014-06-10,58,2,0,1,0,0,0,0,1
2014-06-17,32,3,0,1,0,0,0,0,1
2014-06-24,37,1,0,1,0,0,0,0,1
2014-07-01,50,2,0,1,0,0,0,0,1
2014-07-08,55,1,0,1,0,0,0,0,1
2014-07-15,22,2,0,1,0,0,0,0,1
2014-07-22,47,3,0,1,0,0,0,0,1
2014-07-29,15,2,0,1,0,0,0,0,1
2014-08-05,49,3,0,1,0,0,0,0,1
2014-08-12,32,1,0,1,0,0,0,0,1
2014-08-19,26,4,0,1,0,0,0,0,1
2014-08-26,63,2,0,1,0,0,0,0,1
2014-09-02,59,1,0,1,0,0,0,0,1
2014-09-09,41,2,0,1,0,0,0,0,1
2014-09-16,51,2,0,1,0,0,0,0,1
2014-09-23,48,1,0,1,0,0,0,0,1
2014-09-30,34,1,0,1,0,0,0,0,1
2014-10-07,18,3,0,1,0,0,0,0,1
2014-10-14,59,1,0,1,0,0,0,0,1
2014-10-21,37,2,0,1,0,0,0,0,1
2014-10-28,51,1,0,1,0,0,0,0,1
2014-11-04,53,1,0,1,0,0,0,0,1
2014-11-11,50,2,0,1,0,0,0,0,1
2014-11-18,34,3,0,1,0,0,0,0,1
2014-11-25,55,1,0,1,0,0,0,0,1
2014-12-02,50,3,0,1,0,0,0,0,1
2014-12-09,71,1,0,1,0,0,0,0,1
2014-12-16,54,2,0,1,0,0,0,0,1
2014-12-23,63,2,0,1,0,0,0,0,1
2014-12-30,25,4,0,1,0,0,0,0,1
2015-01-06,60,2,0,1,0,0,0,0,1
2015-01-13,55,1,0,1,0,0,0,0,1
2015-01-20,47,1,0,1,0,0,0,0,1
2015-01-27,42,1,0,1,0,0,0,0,1
2015-02-03,81,2,0,1,0,0,0,0,1
2015-02-10,55,3,0,1,0,0,0,0,1
2015-02-17,69,1,0,1,0,0,0,0,1
2015-02-24,53,2,0,1,0,0,0,0,1
2015-03-03,32,2,0,1,0,0,0,0,1
2015-03-10,89,1,0,1,0,0,0,0,1
2015-03-17,49,1,0,1,0,0,0,0,1
2015-03-24,72,3,0,1,0,0,0,0,1
2015-03-31,44,2,0,1,0,0,0,0,1
2015-04-07,81,1,0,1,0,0,0,0,1
2015-04-14,35,1,0,1,0,0,0,0,1
2015-04-21,73,2,0,1,0,0,0,0,1
2015-04-28,49,3,0,1,0,0,0,0,1
2015-05-05,55,3,0,1,0,0,0,0,1
2015-05-12,54,3,0,1,0,0,0,0,1
2015-05-19,49,1,0,1,0,0,0,0,1
2015-05-26,42,3,0,1,0,0,0,0,1
2015-06-02,61,1,0,1,0,0,0,0,1
2015-06-09,70,2,0,1,0,0,0,0,1
2015-06-16,68,3,0,1,0,0,0,0,1
2015-06-23,61,1,0,1,0,0,0,0,1
2015-06-30,58,4,0,1,0,0,0,0,1
2015-07-07,77,1,0,1,0,0,0,0,1
2015-07-14,59,1,0,1,0,0,0,0,1
2015-07-21,23,1,0,1,0,0,0,0,1
2015-07-28,68,2,0,1,0,0,0,0,1
2015-08-04,79,3,0,1,0,0,0,0,1
2015-08-11,60,2,0,1,0,0,0,0,1
2015-08-18,66,3,0,1,0,0,0,0,1
2015-08-25,50,2,0,1,0,0,0,0,1
2015-09-01,49,1,0,1,0,0,0,0,1
2015-09-08,49,1,0,1,0,0,0,0,1
2015-09-15,45,1,0,1,0,0,0,0,1
2015-09-22,72,2,0,1,0,0,0,0,1
2015-09-29,8,1,0,1,0,0,0,0,1
2015-10-06,92,2,0,1,0,0,0,0,1
2015-10-13,68,2,0,1,0,0,0,0,1
2015-10-20,52,3,0,1,0,0,0,0,1
2015-10-27,59,2,0,1,0,0,0,0,1
2015-11-03,60,3,0,1,0,0,0,0,1
2015-11-10,72,4,0,1,0,0,0,0,1
2015-11-17,52,3,0,1,0,0,0,0,1
2015-11-24,74,3,0,1,0,0,0,0,1
2015-12-01,73,3,0,1,0,0,0,0,1
2015-12-08,63,2,0,1,0,0,0,0,1
2015-12-15,51,4,0,1,0,0,0,0,1
2015-12-22,90,3,0,1,0,0,0,0,1
2015-12-29,42,2,0,1,0,0,0,0,1
2016-01-05,61,1,0,1,0,0,0,0,1
2016-01-12,79,3,0,1,0,0,0,0,1
2016-01-19,58,1,0,1,0,0,0,0,1
2016-01-26,59,2,0,1,0,0,0,0,1
2016-02-02,72,3,0,1,0,0,0,0,1
2016-02-09,113,3,0,1,0,0,0,0,1
2016-02-16,65,2,0,1,0,0,0,0,1
2016-02-23,90,2,0,1,0,0,0,0,1
2016-03-01,82,3,0,1,0,0,0,0,1
2016-03-08,70,1,0,1,0,0,0,0,1
2016-03-15,94,1,0,1,0,0,0,0,1
2016-03-22,69,1,0,1,0,0,0,0,1
2016-03-29,73,1,0,1,0,0,0,0,1
2016-04-05,103,1,0,1,0,0,0,0,1
2016-04-12,76,1,0,1,0,0,0,0,1
2016-04-19,69,4,0,1,0,0,0,0,1
2016-04-26,79,4,0,1,0,0,0,0,1
2016-05-03,65,4,0,1,0,0,0,0,1
2016-05-10,89,3,0,1,0,0,0,0,1
2016-05-17,150,3,0,1,0,0,0,0,1
2016-05-24,73,4,0,1,0,0,0,0,1
2016-05-31,102,4,0,1,0,0,0,0,1
2016-06-07,105,4,0,1,0,0,0,0,1
2014-02-11,9,2,0,1,0,0,1,0,0
2014-02-18,9,3,0,1,0,0,1,0,0
2014-02-25,7,1,0,1,0,0,1,0,0
2014-03-04,6,2,0,1,0,0,1,0,0
2014-03-11,20,3,0,1,0,0,1,0,0
2014-03-18,11,2,0,1,0,0,1,0,0
2014-03-25,10,4,0,1,0,0,1,0,0
2014-04-01,14,2,0,1,0,0,1,0,0
2014-04-08,13,4,0,1,0,0,1,0,0
2014-04-15,15,4,0,1,0,0,1,0,0
2014-04-22,17,2,0,1,0,0,1,0,0
2014-04-29,8,3,0,1,0,0,1,0,0
2014-05-06,8,3,0,1,0,0,1,0,0
2014-05-13,20,3,0,1,0,0,1,0,0
2014-05-20,19,3,0,1,0,0,1,0,0
2014-05-27,13,1,0,1,0,0,1,0,0
2014-06-03,15,2,0,1,0,0,1,0,0
2014-06-10,17,2,0,1,0,0,1,0,0
2014-06-17,17,3,0,1,0,0,1,0,0
2014-06-24,9,1,0,1,0,0,1,0,0
2014-07-01,6,2,0,1,0,0,1,0,0
2014-07-08,8,1,0,1,0,0,1,0,0
2014-07-15,7,2,0,1,0,0,1,0,0
2014-07-22,15,3,0,1,0,0,1,0,0
2014-07-29,10,2,0,1,0,0,1,0,0
2014-08-05,1,3,0,1,0,0,1,0,0
2014-08-12,13,1,0,1,0,0,1,0,0
2014-08-19,13,4,0,1,0,0,1,0,0
2014-08-26,7,2,0,1,0,0,1,0,0
2014-09-02,12,1,0,1,0,0,1,0,0
2014-09-09,4,2,0,1,0,0,1,0,0
2014-09-16,22,2,0,1,0,0,1,0,0
2014-09-23,6,1,0,1,0,0,1,0,0
2014-09-30,21,1,0,1,0,0,1,0,0
2014-10-07,13,3,0,1,0,0,1,0,0
2014-10-14,6,1,0,1,0,0,1,0,0
2014-10-21,28,2,0,1,0,0,1,0,0
2014-10-28,28,1,0,1,0,0,1,0,0
2014-11-04,22,1,0,1,0,0,1,0,0
2014-11-11,11,2,0,1,0,0,1,0,0
2014-11-18,29,3,0,1,0,0,1,0,0
2014-11-25,24,1,0,1,0,0,1,0,0
2014-12-02,27,3,0,1,0,0,1,0,0
2014-12-09,10,1,0,1,0,0,1,0,0
2014-12-16,30,2,0,1,0,0,1,0,0
2014-12-23,14,2,0,1,0,0,1,0,0
2014-12-30,12,4,0,1,0,0,1,0,0
2015-01-06,6,2,0,1,0,0,1,0,0
2015-01-13,1,1,0,1,0,0,1,0,0
2015-01-20,7,1,0,1,0,0,1,0,0
2015-01-27,20,1,0,1,0,0,1,0,0
2015-02-03,11,2,0,1,0,0,1,0,0
2015-02-10,21,3,0,1,0,0,1,0,0
2015-02-17,1,1,0,1,0,0,1,0,0
2015-02-24,9,2,0,1,0,0,1,0,0
2015-03-03,15,2,0,1,0,0,1,0,0
2015-03-10,12,1,0,1,0,0,1,0,0
2015-03-17,12,1,0,1,0,0,1,0,0
2015-03-24,3,3,0,1,0,0,1,0,0
2015-03-31,17,2,0,1,0,0,1,0,0
2015-04-07,16,1,0,1,0,0,1,0,0
2015-04-14,14,1,0,1,0,0,1,0,0
2015-04-21,17,2,0,1,0,0,1,0,0
2015-04-28,8,3,0,1,0,0,1,0,0
2015-05-05,9,3,0,1,0,0,1,0,0
