date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-11-03,124,3,291.1016957598875,117.0,109.0,110.0,89.0,36.0,74.60576923076921,18.050556430286747
2015-11-10,111,4,285.3556267215885,124.0,117.0,109.0,110.0,89.0,75.83653846153847,21.107107665272192
2015-11-17,90,3,326.24725053629464,111.0,124.0,117.0,109.0,110.0,77.16346153846153,17.807889669488418
2015-11-24,103,3,240.7493585719894,90.0,111.0,124.0,117.0,109.0,78.58653846153845,20.48303064806361
2015-12-01,92,3,192.87500703128867,103.0,90.0,111.0,124.0,117.0,80.01923076923076,22.48829983176702
2015-12-08,91,2,279.0021568963129,92.0,103.0,90.0,111.0,124.0,81.24999999999999,1.8781844000858052
2015-12-15,94,4,252.95216505675717,91.0,92.0,103.0,90.0,111.0,82.64423076923076,-0.10693103159541197
2015-12-22,89,3,312.95432888928326,94.0,91.0,92.0,103.0,90.0,83.2403846153846,15.520133023902867
2015-12-29,96,2,260.96747248340944,89.0,94.0,91.0,92.0,103.0,82.90384615384616,11.176043233247292
2016-01-05,62,1,224.60387261386262,96.0,89.0,94.0,91.0,92.0,82.82692307692307,79.4761842118225
2016-01-12,111,3,272.53554929695355,62.0,96.0,89.0,94.0,91.0,82.60576923076924,-20.77936805094929
2016-01-19,84,1,314.76692150716383,111.0,62.0,96.0,89.0,94.0,81.98076923076924,-0.23609882018006798
2016-01-26,56,2,261.72855514677786,84.0,111.0,62.0,96.0,89.0,82.27884615384616,-13.389944974026214
2016-02-02,57,3,573.9611911012443,56.0,84.0,111.0,62.0,96.0,82.75961538461537,-17.293791127872367
2016-02-09,85,3,341.07581848222117,57.0,56.0,84.0,111.0,62.0,82.34615384615383,-7.777899159272933
2016-02-16,94,2,267.3044494316712,85.0,57.0,56.0,84.0,111.0,81.75961538461539,4.8035732951771895
2016-02-23,64,2,361.3467327149136,94.0,85.0,57.0,56.0,84.0,81.45192307692307,1.3754303650119404
2016-03-01,78,3,337.9712768425143,64.0,94.0,85.0,57.0,56.0,81.53846153846155,-0.7898920523328109
2016-03-08,96,1,329.79149330207736,78.0,64.0,94.0,85.0,57.0,81.83653846153847,1.3011957867327022
2016-03-15,64,1,195.8279900957951,96.0,78.0,64.0,94.0,85.0,82.19230769230771,5.369847728362322
2016-03-22,59,1,384.22284560928114,64.0,96.0,78.0,64.0,94.0,82.09615384615384,1.9384996699919324
2016-03-29,57,1,345.47184813590286,59.0,64.0,96.0,78.0,64.0,81.94230769230771,-12.816566337096393
2016-04-05,61,1,448.5169734055944,57.0,59.0,64.0,96.0,78.0,82.54807692307693,-10.741504139056527
2016-04-12,72,1,217.9044497232859,61.0,57.0,59.0,64.0,96.0,83.44230769230771,-12.124775274349986
2016-04-19,65,4,314.6206340298981,72.0,61.0,57.0,59.0,64.0,83.91346153846155,-12.568943845540886
2016-04-26,64,4,308.9577462080223,65.0,72.0,61.0,57.0,59.0,84.41346153846155,-10.38811241673178
2016-05-03,74,4,289.07492072540987,64.0,65.0,72.0,61.0,57.0,84.875,-17.540614321256008
2016-05-10,70,3,348.24398694294007,74.0,64.0,65.0,72.0,61.0,85.19230769230771,-14.388629046293065
2016-05-17,83,3,264.59467390634916,70.0,74.0,64.0,65.0,72.0,85.69230769230771,-19.624464284150623
2016-05-24,78,4,321.2955316157468,83.0,70.0,74.0,64.0,65.0,86.67307692307693,-13.847479009187676
2016-05-31,70,4,195.23944951432773,78.0,83.0,70.0,74.0,64.0,87.96153846153847,-14.807673221404213
2016-06-07,93,4,328.10393951807947,70.0,78.0,83.0,70.0,74.0,88.8942307692308,-17.049918715672042
2016-06-14,86,4,338.76437156629817,93.0,70.0,78.0,83.0,70.0,89.36538461538464,-12.074215491991145
2016-06-21,76,4,277.4739780266264,86.0,93.0,70.0,78.0,83.0,90.19230769230772,18.789308244510273
2016-06-28,90,4,212.83331656493192,76.0,86.0,93.0,70.0,78.0,91.54807692307695,3.774626852806552
2016-07-05,64,4,262.7702987481591,90.0,76.0,86.0,93.0,70.0,94.71153846153851,8.163791614948988
2016-07-12,41,4,224.11951389030293,64.0,90.0,76.0,86.0,93.0,93.77757045097827,-0.6613619783628613
2016-07-19,110,4,221.61372138524345,41.0,64.0,90.0,76.0,86.0,94.38676289986807,-13.423979314568305
2016-07-26,97,4,208.5502390934947,110.0,41.0,64.0,90.0,76.0,94.99595534875786,-2.6064684456455467
2016-08-02,78,4,218.1098352535269,97.0,110.0,41.0,64.0,90.0,95.60514779764765,16.797580884815673
2016-08-09,55,4,217.88368021716698,78.0,97.0,110.0,41.0,64.0,96.21434024653743,0.5097621232818108
2016-08-16,86,4,234.58807799522208,55.0,78.0,97.0,110.0,41.0,96.82353269542723,-12.077917410963506
2016-08-23,83,4,384.43834261652916,86.0,55.0,78.0,97.0,110.0,97.43272514431706,-3.4668789964908715
2016-08-30,98,4,190.3855949728634,83.0,86.0,55.0,78.0,97.0,98.04191759320685,-6.432763658941318
2016-09-06,89,4,198.59322042197448,98.0,83.0,86.0,55.0,78.0,98.65111004209663,-8.00121242395586
2016-09-13,62,4,191.15147551030282,89.0,98.0,83.0,86.0,55.0,99.26030249098642,-6.04081503512425
2016-09-20,99,4,309.67532553171526,62.0,89.0,98.0,83.0,86.0,99.86949493987622,-12.30477662065162
2016-09-27,97,4,330.978505754656,99.0,62.0,89.0,98.0,83.0,100.478687388766,5.886389998949222
2016-10-04,121,4,206.3915172718752,97.0,99.0,62.0,89.0,98.0,101.08787983765579,-22.303853637860197
2016-10-11,127,4,204.11149601297438,121.0,97.0,99.0,62.0,89.0,101.6970722865456,3.813595033022692
