demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
5,5,14,5,15,16
1,5,5,14,5,15
4,1,5,5,14,5
8,4,1,5,5,14
12,8,4,1,5,5
6,12,8,4,1,5
111,6,12,8,4,1
86,111,6,12,8,4
88,86,111,6,12,8
89,88,86,111,6,12
81,89,88,86,111,6
39,81,89,88,86,111
118,39,81,89,88,86
100,118,39,81,89,88
94,100,118,39,81,89
79,94,100,118,39,81
81,79,94,100,118,39
69,81,79,94,100,118
81,69,81,79,94,100
80,81,69,81,79,94
97,80,81,69,81,79
36,97,80,81,69,81
89,36,97,80,81,69
110,89,36,97,80,81
109,110,89,36,97,80
117,109,110,89,36,97
124,117,109,110,89,36
111,124,117,109,110,89
90,111,124,117,109,110
103,90,111,124,117,109
92,103,90,111,124,117
91,92,103,90,111,124
94,91,92,103,90,111
89,94,91,92,103,90
96,89,94,91,92,103
62,96,89,94,91,92
111,62,96,89,94,91
84,111,62,96,89,94
56,84,111,62,96,89
57,56,84,111,62,96
85,57,56,84,111,62
94,85,57,56,84,111
64,94,85,57,56,84
78,64,94,85,57,56
96,78,64,94,85,57
64,96,78,64,94,85
59,64,96,78,64,94
57,59,64,96,78,64
61,57,59,64,96,78
72,61,57,59,64,96
65,72,61,57,59,64
64,65,72,61,57,59
74,64,65,72,61,57
70,74,64,65,72,61
83,70,74,64,65,72
78,83,70,74,64,65
70,78,83,70,74,64
93,70,78,83,70,74
45,37,52,54,62,61
59,45,37,52,54,62
54,59,45,37,52,54
34,54,59,45,37,52
54,34,54,59,45,37
48,54,34,54,59,45
76,48,54,34,54,59
45,76,48,54,34,54
59,45,76,48,54,34
46,59,45,76,48,54
66,46,59,45,76,48
45,66,46,59,45,76
35,45,66,46,59,45
42,35,45,66,46,59
62,42,35,45,66,46
42,62,42,35,45,66
49,42,62,42,35,45
41,49,42,62,42,35
37,41,49,42,62,42
44,37,41,49,42,62
48,44,37,41,49,42
40,48,44,37,41,49
39,40,48,44,37,41
35,39,40,48,44,37
29,35,39,40,48,44
30,29,35,39,40,48
66,30,29,35,39,40
48,66,30,29,35,39
44,48,66,30,29,35
45,44,48,66,30,29
31,45,44,48,66,30
41,31,45,44,48,66
29,41,31,45,44,48
48,29,41,31,45,44
21,48,29,41,31,45
